Date,Hour,Station,Max Capacity,Crowd Level (%),Day of the Week,Holiday/Festival
2024-07-01,16,Rashtriya Udyan,1800,13.55555556,Monday,No
2024-07-01,17,Rashtriya Udyan,1800,18.77777778,Monday,No
2024-07-01,18,Rashtriya Udyan,1800,38.27777778,Monday,No
2024-07-01,19,Rashtriya Udyan,1800,49.88888889,Monday,No
2024-07-01,20,Rashtriya Udyan,1800,38.38888889,Monday,No
2024-07-01,21,Rashtriya Udyan,1800,19.77777778,Monday,No
2024-07-01,22,Rashtriya Udyan,1800,9.111111111,Monday,No
2024-07-01,23,Rashtriya Udyan,1800,0.722222222,Monday,No
2024-07-01,5,Ovaripada,1800,0.666666667,Monday,No
2024-07-01,6,Ovaripada,1800,10.77777778,Monday,No
2024-07-01,7,Ovaripada,1800,28.22222222,Monday,No
2024-07-01,8,Ovaripada,1800,73.72222222,Monday,No
2024-07-01,9,Ovaripada,1800,92.27777778,Monday,No
2024-07-01,10,Ovaripada,1800,57.83333333,Monday,No
2024-07-01,11,Ovaripada,1800,34.5,Monday,No
2024-07-01,12,Ovaripada,1800,27.22222222,Monday,No
2024-07-01,13,Ovaripada,1800,22.94444444,Monday,No
2024-07-01,14,Ovaripada,1800,21.11111111,Monday,No
2024-07-01,15,Ovaripada,1800,20.72222222,Monday,No
2024-07-01,16,Ovaripada,1800,23.88888889,Monday,No
2024-07-01,17,Ovaripada,1800,31.38888889,Monday,No
2024-07-01,18,Ovaripada,1800,68.5,Monday,No
2024-07-01,19,Ovaripada,1800,103.9444444,Monday,No
2024-07-01,20,Ovaripada,1800,86.72222222,Monday,No
2024-07-01,21,Ovaripada,1800,44.27777778,Monday,No
2024-07-01,22,Ovaripada,1800,20.05555556,Monday,No
2024-07-01,23,Ovaripada,1800,3.055555556,Monday,No
2024-07-01,5,Dahisar (East),1800,0.555555556,Monday,No
2024-07-01,6,Dahisar (East),1800,10,Monday,No
2024-07-01,7,Dahisar (East),1800,33.5,Monday,No
2024-07-01,8,Dahisar (East),1800,98.88888889,Monday,No
2024-07-01,9,Dahisar (East),1800,128.3333333,Monday,No
2024-07-01,10,Dahisar (East),1800,84.94444444,Monday,No
2024-07-01,11,Dahisar (East),1800,47.77777778,Monday,No
2024-07-01,12,Dahisar (East),1800,35.5,Monday,No
2024-07-01,13,Dahisar (East),1800,35.11111111,Monday,No
2024-07-01,14,Dahisar (East),1800,34.33333333,Monday,No
2024-07-01,15,Dahisar (East),1800,34.61111111,Monday,No
2024-07-01,16,Dahisar (East),1800,39.77777778,Monday,No
2024-07-01,17,Dahisar (East),1800,64.88888889,Monday,No
2024-07-01,18,Dahisar (East),1800,114.9444444,Monday,No
2024-07-01,19,Dahisar (East),1800,165.7777778,Monday,No
2024-07-01,20,Dahisar (East),1800,135.9444444,Monday,No
2024-07-01,21,Dahisar (East),1800,74.16666667,Monday,No
2024-07-01,22,Dahisar (East),1800,34.83333333,Monday,No
2024-07-01,23,Dahisar (East),1800,14.88888889,Monday,No
2024-07-01,5,Anand Nagar,1800,0.944444444,Monday,No
2024-07-01,6,Anand Nagar,1800,18.66666667,Monday,No
2024-07-01,7,Anand Nagar,1800,41.77777778,Monday,No
2024-07-01,8,Anand Nagar,1800,116.5,Monday,No
2024-07-01,9,Anand Nagar,1800,139.5,Monday,No
2024-07-01,10,Anand Nagar,1800,96.94444444,Monday,No
2024-07-01,11,Anand Nagar,1800,55.61111111,Monday,No
2024-07-01,12,Anand Nagar,1800,50.44444444,Monday,No
2024-07-01,13,Anand Nagar,1800,40.66666667,Monday,No
2024-07-01,14,Anand Nagar,1800,32.27777778,Monday,No
2024-07-01,15,Anand Nagar,1800,32.44444444,Monday,No
2024-07-01,16,Anand Nagar,1800,40.16666667,Monday,No
2024-07-01,17,Anand Nagar,1800,54.44444444,Monday,No
2024-07-01,18,Anand Nagar,1800,91.05555556,Monday,No
2024-07-01,19,Anand Nagar,1800,125.8333333,Monday,No
2024-07-01,20,Anand Nagar,1800,110.5555556,Monday,No
2024-07-01,21,Anand Nagar,1800,65.38888889,Monday,No
2024-07-01,22,Anand Nagar,1800,27.05555556,Monday,No
2024-07-01,23,Anand Nagar,1800,11.27777778,Monday,No
2024-07-01,5,Kandarpada,1800,0.444444444,Monday,No
2024-07-01,6,Kandarpada,1800,7.833333333,Monday,No
2024-07-01,7,Kandarpada,1800,23.05555556,Monday,No
2024-07-01,8,Kandarpada,1800,42.83333333,Monday,No
2024-07-01,9,Kandarpada,1800,60.66666667,Monday,No
2024-07-01,10,Kandarpada,1800,41.33333333,Monday,No
2024-07-01,11,Kandarpada,1800,29.77777778,Monday,No
2024-07-01,12,Kandarpada,1800,30.66666667,Monday,No
2024-07-01,13,Kandarpada,1800,24.11111111,Monday,No
2024-07-01,14,Kandarpada,1800,24.5,Monday,No
2024-07-01,15,Kandarpada,1800,21.83333333,Monday,No
2024-07-01,16,Kandarpada,1800,23.05555556,Monday,No
2024-07-01,17,Kandarpada,1800,27.88888889,Monday,No
2024-07-01,18,Kandarpada,1800,44,Monday,No
2024-07-01,19,Kandarpada,1800,62.33333333,Monday,No
2024-07-01,20,Kandarpada,1800,54.44444444,Monday,No
2024-07-01,21,Kandarpada,1800,30.88888889,Monday,No
2024-07-01,22,Kandarpada,1800,17.16666667,Monday,No
2024-07-01,23,Kandarpada,1800,5.222222222,Monday,No
2024-07-01,5,Mandapeshwar,1800,0.833333333,Monday,No
2024-07-01,6,Mandapeshwar,1800,7.777777778,Monday,No
2024-07-01,7,Mandapeshwar,1800,16.5,Monday,No
2024-07-01,8,Mandapeshwar,1800,38.5,Monday,No
2024-07-01,9,Mandapeshwar,1800,54.05555556,Monday,No
2024-07-01,10,Mandapeshwar,1800,27.83333333,Monday,No
2024-07-01,11,Mandapeshwar,1800,17.77777778,Monday,No
2024-07-01,12,Mandapeshwar,1800,22.66666667,Monday,No
2024-07-01,13,Mandapeshwar,1800,15.11111111,Monday,No
2024-07-01,14,Mandapeshwar,1800,18.5,Monday,No
2024-07-01,15,Mandapeshwar,1800,15.22222222,Monday,No
2024-07-01,16,Mandapeshwar,1800,13.5,Monday,No
2024-07-01,17,Mandapeshwar,1800,24.11111111,Monday,No
2024-07-01,18,Mandapeshwar,1800,34.05555556,Monday,No
2024-07-01,19,Mandapeshwar,1800,37.33333333,Monday,No
2024-07-01,20,Mandapeshwar,1800,35.77777778,Monday,No
2024-07-01,21,Mandapeshwar,1800,24.88888889,Monday,No
2024-07-01,22,Mandapeshwar,1800,11.61111111,Monday,No
2024-07-01,23,Mandapeshwar,1800,3.166666667,Monday,No
2024-07-01,5,Eksar,1800,0.111111111,Monday,No
2024-07-01,6,Eksar,1800,5.888888889,Monday,No
